Probe ID,Gene ID,Gene Symbol,bmdl,bmd,bmdu,Unadjusted P-Value,Adjusted P-Value,Max Fold Change,Max Fold Change Unsigned,FC Dose Level 1,FC Dose Level 2,FC Dose Level 3,FC Dose Level 4,FC Dose Level 5,FC Dose Level 6,FC Dose Level 7
NOLC1_4626,9221,nolc1,17.76433627,25.33032072,85.80748092,0.001903009,0.008919658,-2.3548837,2.3548837,-1.1317449,-1.2185004,1.1137155,-1.1896557,-2.3548837,-1.5477058,1.5447993
NOP56_4635,,nop56,15.31193927,17.7143734,21.13645672,1.33E-06,1.63E-05,2.2146864,2.2146864,1.234317,1.1937406,1.1684631,1.1634471,1.266695,1.3751982,2.2146864
NPDC1_4650,56654,npdc1,5.835108719,7.66929063,11.57672425,0.007942012,0.028738253,2.461897,2.461897,1.0140097,1.2902849,-1.0094175,1.4186404,1.0353893,2.461897,2.305919
NQO1_26473,1728,nqo1,5.648556247,7.119736788,9.847166141,0.000634267,0.003631177,3.4183965,3.4183965,1.4877322,-1.3484416,1.0423627,1.0462078,1.9053802,1.6215509,3.4183965
NR1H3_26446,10062,nr1h3,22.94220539,40.42262068,206.5426423,0.011284021,0.039067572,2.711906,2.711906,1.1159886,1.1599638,1.1645044,-1.1514324,2.711906,1.0489774,-1.2620672
NR1H4_25084,9971,nr1h4,24.42944039,31.75898143,50.0252785,0.000411206,0.002535243,-1.626486,1.626486,-1.1234266,-1.031101,-1.2161515,-1.1284833,-1.626486,-1.0951673,-1.6241986
NR1I3_16711,,nr1i3,4.331055271,4.691134944,5.168464811,4.71E-11,1.68E-09,-7.547079,7.547079,-1.1748905,1.0882552,-1.001514,-1.3292189,-1.6452796,-2.636315,-7.547079
NRAS_4703,4893,nras,24.24080308,57.75430753,462.0345205,0.00870658,0.031153231,-2.2569757,2.2569757,-1.9754463,-2.2569757,-1.381606,-1.3092824,-1.5358554,-2.207555,-1.1261188
NUCB2_4744,4925,nucb2,10.06698811,12.20426513,15.98001077,0.003705419,0.015589991,2.0565898,2.0565898,-1.1427797,1.0666618,-1.0469587,-1.1277491,1.0389273,1.3233712,2.0565898
ORM1_4833,5004,orm1,28.36789957,35.170479,51.94517763,0.000870703,0.004747405,-1.5138015,1.5138015,1.0972245,1.2760253,1.1079831,-1.0225939,-1.3093331,1.0948886,-1.5138015
ORM2_4836,5005,orm2,22.93850768,26.36270389,31.68885405,1.51E-06,1.79E-05,-1.7407135,1.7407135,1.1126224,1.3497093,1.1421548,1.110195,-1.1857697,-1.0716795,-1.7407135
OSTC_4855,,ostc,24.3062925,30.30565022,41.06557179,3.64E-05,0.000288803,1.5567285,1.5567285,1.1494479,1.2407632,1.1566194,1.2212307,1.2192425,1.3047159,1.5567285
P4HA2_4889,8974,p4ha2,17.64569559,21.84794482,30.38036896,0.00441335,0.017865151,1.6140746,1.6140746,-1.0137829,-1.2743773,1.0797539,1.0529168,1.0041599,1.073562,1.6140746
PAFAH1B3_28382,5050,pafah1b3,15.74993576,20.21005309,29.96910134,0.007398654,0.027390397,1.5805004,1.5805004,-1.028504,-1.090555,1.3061306,-1.0344137,1.109498,1.2690455,1.5805004
PEBP1_17926,,pebp1,43.32656685,53.33981008,70.99356641,0.000904204,0.004896753,-1.5307845,1.5307845,-1.1953332,-1.188096,-1.1271526,-1.1017138,-1.1016898,-1.2412915,-1.5307845
PEG10_18691,23089,peg10,3.216696371,3.658714456,4.236235845,3.11E-10,8.92E-09,13.544045,13.544045,-1.3296183,1.6236167,1.0794855,1.4238495,1.6776146,3.5758102,13.544045
PFN1_5086,,pfn1,32.88920286,38.91464758,48.71849273,0.000501253,0.002998169,1.539013,1.539013,1.0864209,1.0159484,1.0089753,-1.0408623,1.1501122,1.0780466,1.539013
PGRMC1_5105,10857,pgrmc1,15.84639908,17.30092972,19.2378277,4.76E-07,6.69E-06,-2.2172425,2.2172425,-1.0193388,1.0479512,1.0061965,1.0447958,-1.1177021,-1.2674891,-2.2172425
PIK3R1_15690,5295,pik3r1,2.689445662,3.220405653,4.970012623,3.33E-08,6.51E-07,-2.5368204,2.5368204,1.1093696,1.2267237,1.1647311,1.1924641,-1.5828888,-2.2394161,-2.5368204
PLIN2_21957,123,plin2,3.888521439,5.106066018,6.686931289,2.22E-16,3.56E-14,4.453412,4.453412,1.0396081,1.049806,1.152566,1.6058501,1.372471,3.3750181,4.453412
PLP2_5208,5355,plp2;prickle3,14.23139777,17.28790063,22.11604116,7.69E-05,0.000584026,1.900543,1.900543,1.0180149,-1.1269436,1.0245378,1.0127239,1.5012859,1.3573135,1.900543
PLRG1_24969,5356,plrg1,21.68610363,39.35743948,213.6539555,0.003999574,0.01656671,-1.6381545,1.6381545,-1.5901047,-1.0952411,-1.6381545,-1.047648,1.1333014,-1.4472927,1.1695787
PLS1_5211,5357,pls1,20.57677193,23.1304315,27.57511637,0.000387975,0.002419939,1.6846579,1.6846579,1.1803416,1.0366737,-1.0561372,-1.0523385,-1.024749,1.0700761,1.6846579
POR_23019,5447,por,8.972426638,10.09602555,11.56527516,1.21E-08,2.52E-07,2.9450223,2.9450223,-1.040335,-1.116383,1.3671788,1.036879,-1.0405018,1.8653656,2.9450223
PPARG_28287,5468,pparg,20.13584033,29.17451542,59.35181153,0.001751975,0.008339363,1.9569733,1.9569733,1.2477643,1.1139699,-1.0131558,-1.0886228,1.9569733,1.3252935,1.5890676
PPM1D_25317,8493,ppm1d,11.70704421,18.18764027,80.7244285,9.02E-05,0.00067511,-3.3661046,3.3661046,1.0769885,1.048366,-3.3661046,1.2361197,1.355811,1.1318953,-1.8319237
PRMT5_28286,10419,prmt5,13.98493384,16.71433228,21.99260941,0.00017566,0.001188111,1.8551518,1.8551518,1.0019609,-1.052613,-1.0270987,1.038038,-1.6352934,1.1859567,1.8551518
