Probe ID,Gene ID,Gene Symbol ,Df1,Df2,F-Value,Unadjusted P-Value,Adjusted P-Value,Max Fold Change,Max Fold Change Unsigned,FC Dose Level 1,FC Dose Level 2,bmdl,bmd,bmdu,BMDU/BMDL
1418148_at,57742,Abhd1,2,12,53.85357789,0.00000101,0.00109265,1.595545,1.595545,1.2650039,1.595545,14.40334133,17.32734511,42.41629263,2.944892554
1418213_at,94179,Krt23,2,12,31.20147727,0.0000176,0.006404571,6.30779,6.30779,2.0553348,6.30779,1.8325851,2.302451528,2.956526916,1.613309481
1418260_at,26559,Hunk,2,12,14.90400487,0.000559,0.047033726,1.5695366,1.5695366,1.0017858,1.5695366,9.225194012,9.964231883,11.68571544,1.266717581
1418321_at,13177,Eci1,2,12,122.3865043,1.04E-08,0.0000681,2.3827608,2.3827608,1.901346,2.3827608,2.660199705,4.581953167,7.626973398,2.867067981
1418328_at,12651;12895;100134861,Cpt1b,2,12,53.2648786,0.00000108,0.001129382,2.689541,2.689541,1.2327118,2.689541,4.505362458,5.112323119,5.767097396,1.280051816
1418359_at,79565,Wbscr27,2,12,17.20637557,0.000299,0.034473158,1.5961474,1.5961474,1.0851024,1.5961474,10.84705854,12.39024522,15.62356251,1.440350161
1418370_at,21924,Tnnc1,2,12,19.56524593,0.000167,0.024255598,1.558873,1.558873,1.0562856,1.558873,7.848294308,8.67908289,9.892332607,1.260443635
1418486_at,22361,Vnn1,2,12,21.48863303,0.000108,0.018617195,26.954884,26.954884,9.390836,26.954884,0.414727955,0.750210268,9.671908993,23.32109248
1418661_at,54608,Abhd2,2,12,15.22141329,0.000511,0.044734298,1.5038078,1.5038078,-1.0328013,1.5038078,9.849951806,10.5651806,12.74319149,1.293731355
1418723_at,65086,Lpar3,2,12,42.60988569,0.00000354,0.002321546,2.0664594,2.0664594,1.1806879,2.0664594,2.860819197,3.380360422,4.001179425,1.398613177
1418989_at,13034,Ctse,2,12,46.63796337,0.00000219,0.001798608,4.5570188,4.5570188,2.3998277,4.5570188,1.858549199,2.676376133,3.960473075,2.13094874
1419103_a_at,66082,Abhd6,2,12,68.73619722,0.000000268,0.000604,1.9547418,1.9547418,1.3323789,1.9547418,8.090875188,9.264100443,10.81951811,1.337249414
1419104_at,66082,Abhd6,2,12,21.5405201,0.000107,0.018568823,1.8269627,1.8269627,1.0487354,1.8269627,8.065889238,8.835289762,9.591467641,1.189139518
1419149_at,18787,Serpine1,2,12,33.93602403,0.0000115,0.004831908,1.8497809,1.8497809,1.0331123,1.8497809,7.858970199,8.74916043,9.233236279,1.174865923
1419365_at,18631,Pex11a,2,12,98.86726368,3.51E-08,0.000132,3.1786604,3.1786604,1.6983877,3.1786604,3.645642465,4.316762427,5.201398227,1.426743922
1419367_at,67460,Decr1,2,12,136.7020191,5.52E-09,0.0000623,2.0659363,2.0659363,1.5700154,2.0659363,10.5636136,12.06081969,14.2364068,1.347683411
1419382_a_at,28200,Dhrs4,2,12,45.41504913,0.00000253,0.002015888,1.7400072,1.7400072,1.4283655,1.7400072,12.71081508,15.22197188,19.51248367,1.535108767
1419504_at,68393,Mogat1,2,12,53.82653718,0.00000102,0.00109265,10.063996,10.063996,2.2775147,10.063996,1.625826178,1.917359974,2.419157764,1.487955968
1419509_a_at,56174,Nagk,2,12,15.48674571,0.000474,0.043349914,1.6821665,1.6821665,-1.0096084,1.6821665,9.838577755,10.74147661,13.20852901,1.342524228
1420541_at,19683,Rdh16,2,12,30.91164391,0.0000184,0.006404571,1.8467381,1.8467381,1.4758581,1.8467381,10.00388541,12.22110287,16.04391168,1.603768038
