Probe.ID,Gene.ID,Gene.Symbol,bmr,bmr_value,adversity_value,model,prior_weight,posterior_weight,bmdl,bmd,bmdu,Unadjusted.P-Value ,Adjusted.P-Value ,Max.Fold.Change ,Max.Fold.Change Unsigned,FC Dose Level 1,FC Dose Level 2,FC Dose Level 3,FC Dose Level 4,FC Dose Level 5,FC Dose Level 6,FC Dose Level 7
BMF_16921,90427,bmf,CentralTendencyRelativeChange,,0.1,Model average,1,1,8.622002633,11.45710596,17.167043,0.005623387,0.03355561,1.7633908,1.7633908,1.127078,-1.1112684,-1.0715201,1.2506752,1.3109292,1.7633908,1.7414962
LSS_14888,4047,lss,CentralTendencyRelativeChange,,0.1,Model average,1,1,10.10732001,11.37851385,12.63427493,0.0000298,0.000469,-2.955205,2.955205,-1.0038513,1.3635306,1.0948596,1.1426895,1.1658368,-1.2181963,-2.955205
GLUD1_2678,2746,glud1,CentralTendencyRelativeChange,,0.1,Model average,1,1,8.926677683,10.95111722,14.59453076,0.006099047,0.035614079,-2.0901842,2.0901842,1.0877414,-1.468731,1.0145998,-1.1206392,-1.285171,-1.6083168,-2.0901842
CDK4_1203,1019,tspan31;cdk4,CentralTendencyRelativeChange,,0.1,Model average,1,1,7.409139656,10.82646496,18.05077042,7.67E-08,0.0000033,1.81345,1.81345,1.1273519,1.031343,-1.0419642,1.1601813,1.3101823,1.6830596,1.81345
ABCB1_12,5243,abcb1,CentralTendencyRelativeChange,,0.1,Model average,1,1,9.44722664,10.74300219,12.51392804,0.00000117,0.0000324,2.2722394,2.2722394,-1.0274055,-1.0191569,1.0602907,1.0021272,-1.0429461,1.8483404,2.2722394
ALAS1_28273,211,alas1,CentralTendencyRelativeChange,,0.1,Model average,1,1,8.537259246,10.6109124,13.10852166,9.73E-13,1.25E-10,2.201289,2.201289,1.060673,-1.0104958,1.0323927,1.110667,1.2282013,1.806562,2.201289
ANO10_292,55129,ano10,CentralTendencyRelativeChange,,0.1,Model average,1,1,8.158000431,10.47755912,15.1060109,0.000586,0.00547158,1.9690548,1.9690548,-1.1890645,1.0998892,1.1566416,1.5900117,1.2328035,1.2991554,1.9690548
FKBP4_2433,,fkbp4,CentralTendencyRelativeChange,,0.1,Model average,1,1,7.55452976,10.37789883,16.98870656,0.007901387,0.044242358,2.1156416,2.1156416,1.1199957,1.065949,-1.0630536,1.2191453,1.3058,2.1156416,1.581867
CD320_1116,51293,cd320,CentralTendencyRelativeChange,,0.1,Model average,1,1,8.129770408,10.3366727,14.75610752,0.000177,0.002018488,2.294666,2.294666,1.5554335,1.42785,1.3602087,1.3725622,1.1823845,1.9774898,2.294666
HP_3085,3240,hp,CentralTendencyRelativeChange,,0.1,Model average,1,1,8.883462698,10.26757427,11.96092042,0.00000141,0.0000371,-2.69577,2.69577,1.2100778,1.0611093,1.1340927,1.2054185,1.1004452,-2.356673,-2.69577
FPGS_27241,2356,fpgs,CentralTendencyRelativeChange,,0.1,Model average,1,1,7.585458931,10.06136028,15.44275788,0.0000273,0.000447,2.0312421,2.0312421,1.1213202,1.0847783,1.2704611,1.2183082,1.2898265,2.0312421,1.8208789
TMEM126A_24438,84233,tmem126a,CentralTendencyRelativeChange,,0.1,Model average,1,1,7.404392053,9.922305192,16.11593766,0.001848924,0.014126126,1.718659,1.718659,1.302751,-1.0298871,1.0351785,1.4540474,1.3058393,1.4849634,1.718659
SLC22A1_19293,,slc22a1,CentralTendencyRelativeChange,,0.1,Model average,1,1,8.940766118,9.911715643,11.16706469,0.000000499,0.0000157,-3.507044,3.507044,1.1279866,-1.2703817,-1.181718,-1.2222375,-1.2658232,-1.5959496,-3.507044
MYC_4394,4609,myc,CentralTendencyRelativeChange,,0.1,Model average,1,1,8.023689147,9.896095864,13.16611819,0.0000944,0.001178009,2.8987107,2.8987107,1.2045455,1.3381523,1.6293501,1.3902581,1.3326858,1.9435709,2.8987107
LRRFIP2_14725,9209,lrrfip2,CentralTendencyRelativeChange,,0.1,Model average,1,1,6.41677333,9.787202449,18.56434532,0.004223552,0.026986972,-1.6837857,1.6837857,-1.038721,-1.3365928,-1.1246737,-1.0535417,-1.5247735,-1.6837857,-1.4896473
MAPK1_3989,5594,mapk1,CentralTendencyRelativeChange,,0.1,Model average,1,1,6.746734176,9.689786588,20.25533037,0.009068558,0.04942364,1.595223,1.595223,1.2958082,-1.2395657,-1.2495846,1.4394283,1.2750994,1.4946679,1.595223
PHGDH_5113,26227,phgdh,CentralTendencyRelativeChange,,0.1,Model average,1,1,7.714661586,9.643546376,12.82226827,0.000258,0.002773039,2.4475284,2.4475284,1.2636161,-1.0310414,1.2511201,1.216944,1.1566068,2.4475284,2.2030256
GOT1_2737,2805,got1,CentralTendencyRelativeChange,,0.1,Model average,1,1,6.92455456,9.44271452,14.49638421,0.0000386,0.000584,2.6690636,2.6690636,1.1605763,1.2692993,1.1995605,-1.1006165,1.2752799,2.6690636,1.7172866
CMSS1_22063,84319,cmss1,CentralTendencyRelativeChange,,0.1,Model average,1,1,8.030492971,9.395546689,11.47629097,0.0000285,0.000458,2.5762558,2.5762558,1.2949195,1.025139,-1.1113573,1.1329256,-1.0027514,1.4462316,2.5762558
ABCC2_26620,1244,abcc2,CentralTendencyRelativeChange,,0.1,Model average,1,1,7.227289846,9.309321928,12.7501986,0.000000235,0.00000818,2.3147135,2.3147135,-1.3634113,-1.1066911,-1.4990963,-1.257079,1.0001501,2.3147135,1.6614313
METRN_4129,79006,metrn,CentralTendencyRelativeChange,,0.1,Model average,1,1,7.198571311,9.289636198,13.54495584,0.000528,0.005030025,2.2794676,2.2794676,-1.0216122,1.6073358,1.4137322,1.3392133,1.3648919,1.4454387,2.2794676
FMO5_11213,2330,fmo5,CentralTendencyRelativeChange,,0.1,Model average,1,1,8.583814043,9.282620399,10.13176994,2.44E-10,1.82E-08,-3.4440994,3.4440994,-1.0828682,1.1291691,-1.0207758,-1.2001051,-1.3334119,-1.7742578,-3.4440994
TXNRD1_7440,7296,txnrd1,CentralTendencyRelativeChange,,0.1,Model average,1,1,7.929704028,9.228058779,11.15407915,0.0000617,0.000848,3.3653147,3.3653147,-1.0213501,1.0580708,1.1220962,-1.0407784,-1.0918,1.88362,3.3653147
DHCR7_17139,,dhcr,CentralTendencyRelativeChange,,0.1,Model average,1,1,7.94186301,9.078476132,10.61483715,0.000165,0.001929216,-2.760877,2.760877,-1.0456063,1.6936213,1.0989996,1.1631776,1.2762425,-1.3082814,-2.760877
ALDOC_233,230,aldoc,CentralTendencyRelativeChange,,0.1,Model average,1,1,7.763461959,9.011109858,10.98191362,0.005185562,0.031832618,-2.4530013,2.4530013,1.3070613,1.0787683,1.1432111,1.1587423,1.1798844,-1.318759,-2.4530013
AKR1B10_19908,57016,akr1b10,CentralTendencyRelativeChange,,0.1,Model average,1,1,7.128818855,8.874931751,11.62707191,0.000000457,0.0000153,2.8296053,2.8296053,-1.1528486,1.3346769,1.138952,1.0276558,1.2443666,2.8296053,2.5515041
NUDCD3_4752,23386,nudcd3,CentralTendencyRelativeChange,,0.1,Model average,1,1,5.746774028,8.522796327,20.10653743,0.005990989,0.035234773,2.1649492,2.1649492,-1.3407944,1.0841585,-1.3623644,1.5005955,1.2388135,2.1649492,1.4459797
ARHGEF2_423,9181,arhgef2,CentralTendencyRelativeChange,,0.1,Model average,1,1,7.175726084,8.402070637,10.24106838,0.0000931,0.001171489,3.0910747,3.0910747,1.0598842,-1.0165429,-1.0847958,1.1869277,1.1626526,1.447672,3.0910747
TRUB2_16962,26995,trub2,CentralTendencyRelativeChange,,0.1,Model average,1,1,6.384689873,8.14144915,11.33440216,0.000726,0.006380974,2.2234075,2.2234075,1.3276699,-1.0553504,1.3014073,1.1380455,1.4567195,2.2234075,2.177396
ISG20_11135,3669,isg20,CentralTendencyRelativeChange,,0.1,Model average,1,1,5.876355405,8.111257816,16.14880656,0.001656011,0.012954915,2.1068459,2.1068459,-1.4397607,1.5655648,1.166175,-1.7993044,-1.9670017,1.5038038,2.1068459
B3GALT6_19453,126792,b3galt6,CentralTendencyRelativeChange,,0.1,Model average,1,1,5.682819814,7.981360693,14.8860024,0.004043849,0.026133177,2.2499342,2.2499342,1.7512492,-1.632206,1.4567277,1.063957,1.6275373,2.2499342,2.2120695
TNFRSF21_7250,27242,tnfrsf21,CentralTendencyRelativeChange,,0.1,Model average,1,1,6.737398785,7.927110449,9.670247011,0.0000286,0.000458,3.0705435,3.0705435,-1.1322074,1.1844947,1.1936735,-1.1874703,1.0679735,1.8623445,3.0705435
GGH_2639,8836,ggh,CentralTendencyRelativeChange,,0.1,Model average,1,1,5.914613664,7.813039949,10.14767434,1.33E-12,1.55E-10,-2.1483834,2.1483834,1.104603,-1.0108272,1.038304,-1.0302765,-1.1291385,-2.0168104,-2.1483834
SQSTM1_6740,8878,sqstm1,CentralTendencyRelativeChange,,0.1,Model average,1,1,6.119139347,7.538683317,9.854779884,0.0000273,0.000447,3.4889815,3.4889815,1.1192763,1.184759,1.2545587,1.2014449,1.4448932,3.4889815,3.306882
AFP_158,174,afp,CentralTendencyRelativeChange,,0.1,Model average,1,1,6.215768755,7.316787448,8.810095026,0.002489183,0.017172214,-3.0357635,3.0357635,-1.1759604,1.4506738,1.3892108,1.207854,1.35035,-1.5081258,-3.0357635
CIDEC_20342,63924,cidec,CentralTendencyRelativeChange,,0.1,Model average,1,1,6.331137731,7.265993329,8.557544824,0.00000105,0.0000295,3.9176755,3.9176755,1.2402171,1.0190767,1.0154874,1.1721677,1.2050118,1.6699084,3.9176755
GDF15_18329,9518,gdf15,CentralTendencyRelativeChange,,0.1,Model average,1,1,6.237002181,7.211414486,8.48330587,0.000000208,0.0000074,4.702979,4.702979,1.1634637,1.2903625,1.6500496,1.338515,1.3392966,2.8114026,4.702979
GSTA2_2817,2939,gsta2,CentralTendencyRelativeChange,,0.1,Model average,1,1,6.152198089,7.186767026,8.69804957,0.0000162,0.000302,-7.0330286,7.0330286,-1.8445444,-1.1537528,-1.8049898,-2.0810616,-2.6978986,-2.5384743,-7.0330286
