Probe ID,Gene ID,Gene Symbol,bmdl,bmd,bmdu,Unadjusted P-Value,Adjusted P-Value,Max Fold Change,Max Fold Change Unsigned,FC Dose Level 1,FC Dose Level 2,FC Dose Level 3,FC Dose Level 4,FC Dose Level 5,FC Dose Level 6,FC Dose Level 7
MCUR1_4086,63933,mcur1,21.26637063,24.94960374,31.29113068,0.002037388,0.010415494,1.559797,1.559797,-1.0443397,-1.0687871,-1.1418079,1.0032029,1.0166713,1.0745983,1.559797
MDM2_23384,4193,mdm2,23.06729499,28.33699763,37.76123058,0.011490993,0.041560393,1.6648966,1.6648966,1.0127915,1.058536,-1.0568181,1.134089,-1.0293106,1.3402194,1.6648966
MDM2_27496,4193,mdm2,14.10576784,17.05471028,22.22560556,0.004199537,0.018838501,2.0541978,2.0541978,1.03688,1.1516672,1.0835936,1.1335028,1.0592388,1.5467039,2.0541978
ME1_16747,4199,me1,24.16092382,33.21646755,114.4194118,0.005820281,0.024624264,-1.5953805,1.5953805,1.0551945,-1.1484871,-1.0574569,-1.1670845,-1.2107115,-1.5953805,1.4353735
ME2_4100,4200,me2,11.70590342,13.50743901,16.38575252,0.000327842,0.002398659,2.250721,2.250721,-1.162515,1.0554973,-1.015664,-1.0546185,1.0608084,1.2024591,2.250721
MIF_4173,4282,mif;mif-as1,21.49109183,25.96291063,33.91411841,0.000654811,0.004333707,1.6062407,1.6062407,1.1027011,1.1742504,1.2212776,1.0599557,1.1525453,1.282859,1.6062407
MRPL19_4268,9801,mrpl19,19.87552229,25.67350696,39.22133888,0.003131662,0.015045185,1.5937057,1.5937057,1.1595898,1.1273929,1.3756723,1.063352,1.1987512,1.2021714,1.5937057
MSMO1_4315,6307,msmo1,4.156730972,5.621285603,7.331211866,9.61564E-13,2.19099E-10,-3.5840526,3.5840526,1.0794427,-1.1630551,-1.2842445,-1.2702327,-1.1667466,-3.3939743,-3.5840526
MYC_4394,4609,myc,8.748428043,10.61356553,13.81485045,0.001733307,0.009237136,3.142849,3.142849,1.3267057,1.1518469,1.0276022,1.2107974,-1.1254873,1.8070898,3.142849
NDRG1_21187,10397,ndrg1,2.257184207,3.137787304,4.784574838,2.10453E-07,5.01004E-06,2.9337895,2.9337895,1.0795962,1.12025,-1.1397492,1.2811446,1.5626764,2.8201127,2.9337895
NDUFV3_27573,4731,ndufv3,21.43823423,22.69080663,25.59007878,0.004128143,0.018652657,1.5076987,1.5076987,-1.0004318,1.1034492,1.0188538,-1.080755,-1.0460197,-1.0814226,1.5076987
NET1_27578,10276,net1,13.51794539,15.76968074,19.86808034,0.00362138,0.017139767,-1.9183806,1.9183806,1.2048979,-1.0368601,1.208489,1.1399335,-1.0590224,-1.1576849,-1.9183806
NFKBIA_4568,4792,nfkbia,10.48669263,12.853642,17.16201266,0.004289057,0.019055838,-2.046413,2.046413,1.1466206,1.0135051,-1.2228217,-1.4389784,-1.1897603,-1.450574,-2.046413
NHP2_10492,55651,nhp2,13.31307738,16.33072146,21.59070939,0.006252528,0.025903332,1.8039628,1.8039628,1.1257641,-1.0604645,1.0076995,1.0496033,1.0660028,1.4062315,1.8039628
NME1_27589,654364,nme1-nme2;nme1,21.30000159,25.38204408,31.80237836,0.000986604,0.00612309,1.6957694,1.6957694,-1.0022289,1.0318571,1.0592198,-1.0227344,1.0528708,1.3694975,1.6957694
NME1_4611,654364,nme1-nme2;nme1,14.40917889,16.64875443,19.84722514,5.23127E-05,0.000533651,1.9316674,1.9316674,-1.0218856,-1.0446117,1.1536311,1.0557843,1.1062102,1.5034465,1.9316674
NOC3L_4620,64318,noc3l,11.39494748,14.73676547,22.4429017,0.003045321,0.014674584,1.7608485,1.7608485,1.1128982,1.4720367,-1.1628482,-1.2147233,-1.3481902,1.3580911,1.7608485
NOP58_19568,51602,nop58,18.79485947,22.56983327,29.23197863,0.004743672,0.020616232,1.6488072,1.6488072,1.014741,1.0147259,1.1048769,-1.0369931,1.0626739,1.2872077,1.6488072
NUCB2_4744,4925,nucb2,9.020691169,11.07429105,14.8182207,0.002261174,0.01130587,2.147985,2.147985,-1.0745841,1.3835248,1.2032869,-1.1207262,1.0223914,1.6755831,2.147985
NUP88_4782,4927,nup88,11.59519269,14.28990066,18.89764944,0.000311702,0.002323199,1.6299275,1.6299275,1.1127923,-1.201798,-1.0601063,-1.2753055,1.1216416,1.6029335,1.6299275
ORM1_4833,5004,orm1,16.77390255,20.05958401,25.0097504,0.00138028,0.007923017,-2.1238506,2.1238506,1.0752332,1.0256572,1.100091,1.0606856,-1.2252398,-1.5995718,-2.1238506
ORM2_4836,5005,orm2,18.53410158,21.02982554,24.8014502,4.78265E-07,9.62419E-06,-1.9449987,1.9449987,1.0741761,1.047452,1.2012266,1.0826055,-1.2263101,-1.5840261,-1.9449987
OXSR1_4880,9943,oxsr1,7.721242643,10.35604776,15.91765765,0.003018389,0.014588879,1.894112,1.894112,1.1684129,1.3180435,1.1025531,1.2655697,1.2148232,1.894112,1.623583
P4HA2_4889,8974,p4ha2,18.80727734,20.70089025,24.11243341,0.000314583,0.002333765,1.6707653,1.6707653,1.1060275,1.0357308,-1.1381512,-1.0669338,-1.2042994,1.0501919,1.6707653
PARP14_15187,54625,parp14,18.59315115,32.17176374,61.85063792,0.000926402,0.005817365,-2.2602327,2.2602327,-1.3174868,-1.235049,-1.1390009,-1.378057,-1.3959488,-2.2602327,-1.378133
PEG10_18691,23089,peg10,3.843362343,4.640257763,5.731217146,6.20609E-06,8.53338E-05,6.229086,6.229086,1.5823998,1.0645895,-1.0400535,-1.1260035,-1.1340563,5.740134,6.229086
